Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
4,77,3.774567,3.833978,216.266754,219.670761
1,78,3.828816,3.877903,219.375000,222.187500
2,78,3.826652,3.880068,219.250992,222.311508
3,78,3.825333,3.881386,219.175461,222.387039
4,78,3.823654,3.883065,219.079254,222.483246
1,79,3.877903,3.926991,222.187500,225.000000
2,79,3.875739,3.929155,222.063477,225.124023
3,79,3.874421,3.930474,221.987946,225.199554
4,79,3.872742,3.932153,221.891754,225.295761
1,80,3.926991,3.976078,225.000000,227.812500
2,80,3.924826,3.978243,224.875992,227.936508
3,80,3.923508,3.979561,224.800461,228.012039
4,80,3.921829,3.981240,224.704254,228.108246
1,81,3.976078,4.025166,227.812500,230.625000
2,81,3.973914,4.027330,227.688477,230.749008
3,81,3.972595,4.028648,227.612946,230.824554
4,81,3.970916,4.030327,227.516739,230.920746
1,82,4.025166,4.074253,230.625000,233.437500
2,82,4.023001,4.076417,230.500992,233.561508
3,82,4.021683,4.077736,230.425446,233.637054
4,82,4.020004,4.079415,230.329254,233.733246
1,83,4.074253,4.123340,233.437500,236.249985
2,83,4.072088,4.125505,233.313477,236.374023
3,83,4.070770,4.126823,233.237961,236.449539
4,83,4.069091,4.128502,233.141754,236.545761
1,84,4.123340,4.172428,236.249985,239.062500
2,84,4.121176,4.174592,236.125977,239.186508
3,84,4.119858,4.175910,236.050461,239.262039
4,84,4.118178,4.177589,235.954239,239.358246
1,85,4.172428,4.221515,239.062500,241.875000
2,85,4.170263,4.223680,238.938492,241.999008
3,85,4.168945,4.224998,238.862946,242.074554
4,85,4.167266,4.226677,238.766754,242.170746
1,86,4.221515,4.270603,241.875000,244.687515
2,86,4.219351,4.272767,241.750992,244.811523
3,86,4.218032,4.274085,241.675446,244.887039
4,86,4.216353,4.275764,241.579254,244.983261
1,87,4.270603,4.319690,244.687515,247.499985
2,87,4.268438,4.321855,244.563477,247.624023
3,87,4.267120,4.323173,244.487961,247.699539
4,87,4.265440,4.324852,244.391739,247.795746
1,88,4.319690,4.368777,247.499985,250.312500
2,88,4.317525,4.370942,247.375977,250.436508
3,88,4.316207,4.372260,247.300461,250.512054
4,88,4.314528,4.373939,247.204239,250.608246
1,89,4.368777,4.417865,250.312500,253.125000
2,89,4.366613,4.420029,250.188492,253.249023
3,89,4.365294,4.421347,250.112946,253.324524
4,89,4.363616,4.423027,250.016754,253.420761
1,90,4.417865,4.466952,253.125000,255.937485
2,90,4.415700,4.469117,253.000977,256.061523
3,90,4.414382,4.470435,252.925461,256.137024
4,90,4.412703,4.472114,252.829254,256.233276
1,91,4.466952,4.516039,255.937485,258.750000
2,91,4.464787,4.518204,255.813477,258.873993
3,91,4.463470,4.519522,255.737961,258.949554
4,91,4.461790,4.521201,255.641739,259.045746
1,92,4.516039,4.565127,258.750000,261.562500
2,92,4.513875,4.567291,258.625977,261.686523
3,92,4.512557,4.568610,258.550446,261.762054
4,92,4.510878,4.570289,258.454254,261.858246
1,93,4.565127,4.614214,261.562500,264.375000
2,93,4.562963,4.616379,261.438507,264.499023
3,93,4.561644,4.617697,261.362946,264.574524
4,93,4.559965,4.619376,261.266754,264.670746
1,94,4.614214,4.663301,264.375000,267.187500
2,94,4.612050,4.665466,264.250977,267.311523
3,94,4.610732,4.666784,264.175476,267.387054
4,94,4.609052,4.668463,264.079224,267.483246
1,95,4.663301,4.712389,267.187500,270.000000
2,95,4.661137,4.714553,267.063477,270.124023
3,95,4.659819,4.715872,266.987976,270.199554
4,95,4.658140,4.717551,266.891754,270.295746
1,96,4.712389,4.761477,270.000000,272.812500
2,96,4.710225,4.763641,269.875977,272.936523
3,96,4.708906,4.764959,269.800446,273.012024
4,96,4.707227,4.766638,269.704254,273.108246
1,97,4.761477,4.810564,272.812500,275.625000
2,97,4.759312,4.812728,272.688477,275.749023
3,97,4.757994,4.814046,272.612946,275.824554
4,97,4.756315,4.815726,272.516754,275.920776
1,98,4.810564,4.859651,275.625000,278.437500
2,98,4.808399,4.861815,275.500977,278.561493
3,98,4.807081,4.863134,275.425476,278.637054
4,98,4.805402,4.864813,275.329254,278.733246
1,99,4.859651,4.908739,278.437500,281.250000
2,99,4.857487,4.910903,278.313477,281.374023
3,99,4.856168,4.912221,278.237946,281.449554
4,99,4.854489,4.913900,278.141754,281.545746
1,100,4.908739,4.957826,281.250000,284.062500
