global_patch_index,wedge_index,column_index,patch_in_column,is_rectangular,corner_code,corner_index,z1_mm,zL_mm
68,43,0,0,0,5,1,306.689,364.370
68,43,0,0,0,5,2,270.282,455.894
68,43,0,0,0,5,3,34.048,455.894
68,43,0,0,0,5,4,34.048,122.198
69,44,0,0,0,5,0,276.503,144.060
69,44,0,0,0,5,1,276.503,401.567
69,44,0,0,0,5,2,249.684,467.596
69,44,0,0,0,5,3,15.076,467.596
69,44,0,0,0,5,4,15.076,144.060
70,45,0,0,0,6,0,328.666,94.240
70,45,0,0,0,6,1,328.666,460.478
70,45,0,0,0,6,2,325.596,468.016
70,45,0,0,0,6,3,75.013,468.016
70,45,0,0,0,6,4,75.013,314.016
70,45,0,0,0,6,5,164.528,94.240
71,46,0,0,0,5,0,160.391,115.797
71,46,0,0,0,5,1,160.391,334.268
71,46,0,0,0,5,2,105.987,470.763
71,46,0,0,0,5,3,16.963,470.763
71,46,0,0,0,5,4,16.963,211.806
72,47,0,0,1,40,0,314.059,160.094
72,47,0,0,1,40,1,314.059,452.182
72,47,0,0,1,40,2,104.058,452.182
72,47,0,0,1,40,3,104.058,160.094
73,47,0,1,0,6,0,314.059,11.797
73,47,0,1,0,6,1,314.059,139.804
73,47,0,1,0,6,2,283.638,160.094
73,47,0,1,0,6,3,104.058,160.094
73,47,0,1,0,6,4,104.058,36.119
73,47,0,1,0,6,5,140.525,11.797
74,48,0,0,0,5,0,259.355,145.053
74,48,0,0,0,5,1,259.355,451.332
74,48,0,0,0,5,2,250.086,474.395
74,48,0,0,0,5,3,123.154,474.395
74,48,0,0,0,5,4,123.154,145.053
75,49,0,0,1,40,0,243.742,96.819
75,49,0,0,1,40,1,243.742,450.035
75,49,0,0,1,40,2,89.732,450.035
75,49,0,0,1,40,3,89.732,96.819
76,49,0,1,1,40,0,243.742,5.879
76,49,0,1,1,40,1,243.742,96.819
76,49,0,1,1,40,2,89.732,96.819
76,49,0,1,1,40,3,89.732,5.879
77,49,0,2,0,6,0,243.742,-276.064
77,49,0,2,0,6,1,243.742,-6.867
77,49,0,2,0,6,2,224.646,5.879
77,49,0,2,0,6,3,89.732,5.879
77,49,0,2,0,6,4,89.732,-238.287
77,49,0,2,0,6,5,146.330,-276.064
78,50,0,0,1,40,0,314.307,118.916
78,50,0,0,1,40,1,314.307,453.322
78,50,0,0,1,40,2,36.690,453.322
78,50,0,0,1,40,3,36.690,118.916
79,50,0,1,0,6,0,314.307,-70.893
79,50,0,1,0,6,1,314.307,115.501
79,50,0,1,0,6,2,309.198,118.916
79,50,0,1,0,6,3,36.690,118.916
79,50,0,1,0,6,4,36.690,-39.416
79,50,0,1,0,6,5,83.786,-70.893
80,51,0,0,0,6,0,295.968,69.553
80,51,0,0,0,6,1,295.968,458.636
80,51,0,0,0,6,2,275.899,472.142
80,51,0,0,0,6,3,29.756,472.142
80,51,0,0,0,6,4,29.756,122.468
80,51,0,0,0,6,5,108.384,69.553
81,52,0,0,0,6,0,305.344,124.532
81,52,0,0,0,6,1,305.344,271.198
81,52,0,0,0,6,2,252.084,401.747
81,52,0,0,0,6,3,66.209,401.747
81,52,0,0,0,6,4,66.209,374.146
81,52,0,0,0,6,5,168.044,124.532
82,53,0,0,0,5,0,295.377,87.161
82,53,0,0,0,5,1,295.377,357.482
82,53,0,0,0,5,2,277.071,369.731
82,53,0,0,0,5,3,43.614,369.731
82,53,0,0,0,5,4,43.614,87.161
83,54,0,0,1,40,0,300.882,210.942
83,54,0,0,1,40,1,300.882,461.068
83,54,0,0,1,40,2,95.733,461.068
83,54,0,0,1,40,3,95.733,210.942
84,54,0,1,0,6,0,300.882,-33.989
84,54,0,1,0,6,1,300.882,201.794
84,54,0,1,0,6,2,287.010,210.942
84,54,0,1,0,6,3,95.733,210.942
84,54,0,1,0,6,4,95.733,53.375
84,54,0,1,0,6,5,228.211,-33.989
85,55,0,0,1,40,0,336.446,101.069
85,55,0,0,1,40,1,336.446,461.173
85,55,0,0,1,40,2,118.032,461.173
85,55,0,0,1,40,3,118.032,101.069
86,55,0,1,0,6,0,336.446,-350.856
86,55,0,1,0,6,1,336.446,24.254
86,55,0,1,0,6,2,306.384,101.069
86,55,0,1,0,6,3,118.032,101.069
86,55,0,1,0,6,4,118.032,-68.504
86,55,0,1,0,6,5,228.532,-350.856
87,56,0,0,0,4,0,259.657,65.718
87,56,0,0,0,4,1,259.657,396.074
87,56,0,0,0,4,2,169.434,456.673
87,56,0,0,0,4,3,169.434,126.317
88,57,0,0,1,40,0,307.917,159.676
88,57,0,0,1,40,1,307.917,446.497
88,57,0,0,1,40,2,98.554,446.497
88,57,0,0,1,40,3,98.554,159.676
89,57,0,1,1,40,0,307.917,-48.676
89,57,0,1,1,40,1,307.917,159.676
89,57,0,1,1,40,2,98.554,159.676
89,57,0,1,1,40,3,98.554,-48.676
90,57,0,2,0,6,0,307.917,-278.993
90,57,0,2,0,6,1,307.917,-83.625
90,57,0,2,0,6,2,255.475,-48.676
90,57,0,2,0,6,3,98.554,-48.676
90,57,0,2,0,6,4,98.554,-214.752
90,57,0,2,0,6,5,194.950,-278.993
91,58,0,0,1,40,0,307.608,-2.066
91,58,0,0,1,40,1,307.608,419.601
91,58,0,0,1,40,2,128.288,419.601
91,58,0,0,1,40,3,128.288,-2.066
92,58,0,1,1,40,0,307.608,-123.804
92,58,0,1,1,40,1,307.608,-2.066
92,58,0,1,1,40,2,128.288,-2.066
92,58,0,1,1,40,3,128.288,-123.804
93,58,0,2,0,6,0,307.608,-417.295
93,58,0,2,0,6,1,307.608,-177.531
93,58,0,2,0,6,2,286.524,-123.804
93,58,0,2,0,6,3,128.288,-123.804
93,58,0,2,0,6,4,128.288,-321.696
93,58,0,2,0,6,5,270.418,-417.295
94,59,0,0,0,5,0,305.442,55.140
94,59,0,0,0,5,1,305.442,397.870
94,59,0,0,0,5,2,211.439,460.245
94,59,0,0,0,5,3,27.936,460.245
94,59,0,0,0,5,4,27.936,55.140
95,60,0,0,0,6,0,313.485,42.812
95,60,0,0,0,6,1,313.485,427.089
95,60,0,0,0,6,2,299.310,461.827
95,60,0,0,0,6,3,70.727,461.827
95,60,0,0,0,6,4,70.727,321.026
95,60,0,0,0,6,5,184.256,42.812
96,61,0,0,0,6,0,279.710,187.268
96,61,0,0,0,6,1,279.710,282.046
96,61,0,0,0,6,2,207.135,460.583
96,61,0,0,0,6,3,66.690,460.583
96,61,0,0,0,6,4,66.690,216.247
96,61,0,0,0,6,5,78.470,187.268
97,62,0,0,1,40,0,298.401,158.156
97,62,0,0,1,40,1,298.401,474.929
97,62,0,0,1,40,2,53.989,474.929
97,62,0,0,1,40,3,53.989,158.156
98,62,0,1,0,6,0,298.401,-102.714
98,62,0,1,0,6,1,298.401,69.435
98,62,0,1,0,6,2,263.001,158.156
98,62,0,1,0,6,3,53.989,158.156
98,62,0,1,0,6,4,53.989,-70.632
98,62,0,1,0,6,5,102.467,-102.714
99,63,0,0,0,5,0,307.994,62.936
99,63,0,0,0,5,1,307.994,155.560
99,63,0,0,0,5,2,198.580,434.097
99,63,0,0,0,5,3,104.040,434.097
99,63,0,0,0,5,4,104.040,201.045
100,64,0,0,0,7,0,286.351,81.661
100,64,0,0,0,7,1,286.351,419.382
100,64,0,0,0,7,2,272.088,454.993
100,64,0,0,0,7,3,249.489,470.115
100,64,0,0,0,7,4,73.762,470.115
100,64,0,0,0,7,5,73.762,359.795
100,64,0,0,0,7,6,185.163,81.661
101,65,0,0,1,40,0,293.421,75.787
101,65,0,0,1,40,1,293.421,445.938
101,65,0,0,1,40,2,109.399,445.938
101,65,0,0,1,40,3,109.399,75.787
102,65,0,1,1,40,0,293.421,-150.076
102,65,0,1,1,40,1,293.421,75.787
102,65,0,1,1,40,2,109.399,75.787
102,65,0,1,1,40,3,109.399,-150.076
103,65,0,2,0,5,0,293.421,-424.303
103,65,0,2,0,5,1,293.421,-179.316
103,65,0,2,0,5,2,249.858,-150.076
103,65,0,2,0,5,3,109.399,-150.076
103,65,0,2,0,5,4,109.399,-424.303
104,66,0,0,0,6,0,309.290,37.806
104,66,0,0,0,6,1,309.290,451.572
104,66,0,0,0,6,2,271.994,476.534
104,66,0,0,0,6,3,50.576,476.534
104,66,0,0,0,6,4,50.576,76.828
104,66,0,0,0,6,5,108.880,37.806
105,67,0,0,0,6,0,315.778,69.891
105,67,0,0,0,6,1,315.778,405.832
105,67,0,0,0,6,2,254.489,446.786
105,67,0,0,0,6,3,34.249,446.786
105,67,0,0,0,6,4,34.249,356.544
105,67,0,0,0,6,5,148.085,69.891
106,68,0,0,0,7,0,290.995,115.461
106,68,0,0,0,7,1,290.995,440.786
106,68,0,0,0,7,2,283.321,459.541
106,68,0,0,0,7,3,264.341,472.233
106,68,0,0,0,7,4,85.771,472.233
106,68,0,0,0,7,5,85.771,226.494
106,68,0,0,0,7,6,251.824,115.461
107,69,0,0,0,4,0,304.385,131.238
107,69,0,0,0,4,1,304.385,308.152
107,69,0,0,0,4,2,70.774,462.395
107,69,0,0,0,4,3,70.774,131.238
108,70,0,0,1,40,0,264.503,211.946
108,70,0,0,1,40,1,264.503,467.069
108,70,0,0,1,40,2,35.115,467.069
108,70,0,0,1,40,3,35.115,211.946
109,70,0,1,1,40,0,264.503,34.634
109,70,0,1,1,40,1,264.503,211.946
109,70,0,1,1,40,2,35.115,211.946
109,70,0,1,1,40,3,35.115,34.634
110,70,0,2,0,8,0,264.503,-254.801
110,70,0,2,0,8,1,264.503,24.203
110,70,0,2,0,8,2,263.962,25.556
110,70,0,2,0,8,3,250.374,34.634
110,70,0,2,0,8,4,35.115,34.634
110,70,0,2,0,8,5,35.115,-119.521
110,70,0,2,0,8,6,64.942,-194.081
110,70,0,2,0,8,7,155.820,-254.801
111,71,0,0,0,4,0,286.967,9.000
111,71,0,0,0,4,1,286.967,344.049
111,71,0,0,0,4,2,116.306,458.017
111,71,0,0,0,4,3,116.306,122.967
112,72,0,0,1,40,0,303.587,105.086
112,72,0,0,1,40,1,303.587,474.877
112,72,0,0,1,40,2,138.791,474.877
112,72,0,0,1,40,3,138.791,105.086
113,72,0,1,1,40,0,303.587,-18.716
113,72,0,1,1,40,1,303.587,105.086
113,72,0,1,1,40,2,138.791,105.086
113,72,0,1,1,40,3,138.791,-18.716
114,72,0,2,0,6,0,303.587,-277.730
114,72,0,2,0,6,1,303.587,-247.481
114,72,0,2,0,6,2,211.817,-18.716
114,72,0,2,0,6,3,138.791,-18.716
114,72,0,2,0,6,4,138.791,-230.573
114,72,0,2,0,6,5,157.708,-277.730
115,73,0,0,1,40,0,303.933,143.404
115,73,0,0,1,40,1,303.933,467.541
115,73,0,0,1,40,2,31.657,467.541
115,73,0,0,1,40,3,31.657,143.404
116,73,0,1,0,7,0,303.933,-61.231
116,73,0,1,0,7,1,303.933,42.209
116,73,0,1,0,7,2,290.539,75.508
116,73,0,1,0,7,3,189.462,143.404
116,73,0,1,0,7,4,31.657,143.404
116,73,0,1,0,7,5,31.657,32.175
116,73,0,1,0,7,6,170.710,-61.231
117,74,0,0,1,40,0,309.068,40.873
117,74,0,0,1,40,1,309.068,356.917
117,74,0,0,1,40,2,43.604,356.917
117,74,0,0,1,40,3,43.604,40.873
118,74,0,1,0,6,0,309.068,-228.080
118,74,0,1,0,6,1,309.068,-4.105
118,74,0,1,0,6,2,241.332,40.873
118,74,0,1,0,6,3,43.604,40.873
118,74,0,1,0,6,4,43.604,-146.078
118,74,0,1,0,6,5,167.097,-228.080
119,75,0,0,0,6,0,294.619,-9.097
119,75,0,0,0,6,1,294.619,205.616
119,75,0,0,0,6,2,243.388,333.837
119,75,0,0,0,6,3,97.593,333.837
119,75,0,0,0,6,4,97.593,12.116
